item_no,title,type,data_mean,scenario,graph_text_1,graph_text_2,chance_start,severity_start,question_end,if_phrase,x_label,graph_cat,chance_cat,severity_cat,condition,img,point1,point2,point3
14,Theft,E,41,You are taking a vacation to a foreign city.,The graph below shows the chance,of experiencing an attempt to steal personal belongings for three randomly selected districts.,What is the chance,What is the severity of consequences if,you experience an attempt to steal your personal belongings?,If you stay in one of these districts...,District,The graph below shows the chance of experiencing an attempt to steal personal belongings for three randomly selected districts.,What is the chance you experience an attempt to steal your personal belongings?,What is the severity of consequences if you experience an attempt to steal your personal belongings?,lo,graphs/E14_lo.png,41.082091116418944,41.581138268348795,40.799557209019895
24,Slot Machines,E,42,You are gambling one week's salary on a casino slot machine.,The graph below shows the chance,of losing your week's wages for three randomly selected machines at the casino.,What is the chance,What is the severity of consequences if,you lose your week's wages?,If you use one of these slot machines...,Slot Machine,The graph below shows the chance of losing your week's wages for three randomly selected machines at the casino.,What is the chance you lose your week's wages?,What is the severity of consequences if you lose your week's wages?,hi,graphs/E24_hi.png,41.30746469070281,42.01916159051095,41.618484918819014
20,Toxic Chemicals in Pesticide,E,43,You are selecting a pesticide to spray on your crops.,The graph below shows the chance,of exposure to unsafe levels of toxic chemicals from three randomly selected brands of pesticide.,What is the chance,What is the severity of consequences if,you are exposed to unsafe levels of toxic chemicals?,If you use one of these pesticides brands...,Pesticide,The graph below shows the chance of exposure to unsafe levels of toxic chemicals from three randomly selected brands of pesticide.,What is the chance you are exposed to unsafe levels of toxic chemicals?,What is the severity of consequences if you are exposed to unsafe levels of toxic chemicals?,lo,graphs/E20_lo.png,42.862824809602245,42.80004728809315,42.572030034433396
22,Swimming in Open Water,E,64,You are going swimming in open water.,The graph below shows the chance,of very rough waves for three randomly selected beaches.,What is the chance,What is the severity of consequences if,you experience very rough waves?,If you swim on one of these beaches...,Beach,The graph below shows the chance of very rough waves for three randomly selected beaches.,What is the chance you experience very rough waves?,What is the severity of consequences if you experience very rough waves?,hi,graphs/E22_hi.png,64.65535043891245,63.562073459293906,64.0997618712648
15,Air Pollution,E,65,You are moving to a new city.,The graph below shows the chance,of air pollution reaching unhealthy levels in the next 5 years for three randomly selected areas in the city.,What is the chance,What is the severity of consequences if,air pollution reaches unhealthy levels?,If you move to one of these areas...,Area,The graph below shows the chance of air pollution reaching unhealthy levels in the next 5 years for three randomly selected areas in the city.,What is the chance air pollution reaches unhealthy levels?,What is the severity of consequences if air pollution reaches unhealthy levels?,lo,graphs/E15_lo.png,65.31618763545303,65.28618934876005,65.27023782903066
9,Bus Delays,E,66,You are taking a bus to work.,The graph below shows the chance,of being late to work for three randomly selected bus operators.,What is the chance,What is the severity of consequences if,you are late for work?,If you take one of these buses...,Bus Operator,The graph below shows the chance of being late to work for three randomly selected bus operators.,What is the chance you are late for work?,What is the severity of consequences if you are late for work?,hi,graphs/E9_hi.png,65.02082579859147,66.62105414844842,66.12363046341983
21,Downhill Skiing,E,67,You are going downhill skiing.,The graph below shows the chance,of very icy conditions for three randomly selected ski-runs.,What is the chance,What is the severity of consequences if,you encounter very icy conditions?,If you go on one of these ski-runs...,Ski-run,The graph below shows the chance of very icy conditions for three randomly selected ski-runs.,What is the chance you encounter very icy conditions?,What is the severity of consequences if you encounter very icy conditions?,lo,graphs/E21_lo.png,66.87231976711143,67.05418736016388,67.06389027951413
28,Renting an Apartment,E,68,You are renting an apartment in town.,The graph below shows the chance,of your rent increasing after the first six months for three randomly selected apartment blocks.,What is the chance,What is the severity of consequences if,your rent increases after the first six months?,If you rent in one of these apartment blocks...,Block,The graph below shows the chance of your rent increasing after the first six months for three randomly selected apartment blocks.,What is the chance your rent increases after the first six months?,What is the severity of consequences if your rent increases after the first six months?,hi,graphs/E28_hi.png,68.29838591212518,68.24130599958227,68.83220261819773
23,Heavy Rainfall,E,70,You are going on a camping trip next week.,The graph below shows the chance,of heavy rainfall for three randomly selected days next week.,What is the chance,What is the severity of consequences if,you experience heavy rainfall?,If you camp on one of these days...,Day,The graph below shows the chance of heavy rainfall for three randomly selected days next week.,What is the chance you experience heavy rainfall?,What is the severity of consequences if you experience heavy rainfall?,lo,graphs/E23_lo.png,69.71976217672389,69.88491125525836,70.77935415707456
17,Unsafe Drinking Water,E,71,You are taking a vacation to a country with reports of unsafe drinking water.,The graph below shows the chance,of exposure to harmful bacteria in drinking water from three randomly selected water sources.,What is the chance,What is the severity of consequences if,you are exposed to harmful bacteria in drinking water?,If you drink water from one of these sources...,Water Source,The graph below shows the chance of exposure to harmful bacteria in drinking water from three randomly selected water sources.,What is the chance you are exposed to harmful bacteria in drinking water?,What is the severity of consequences if you are exposed to harmful bacteria in drinking water?,hi,graphs/E17_hi.png,71.28818148258064,71.0443121756804,71.34627242512612
5,Side Effects,F,30.5,You are taking a pharmaceutical drug which lists headaches as a possible side effect.,The graph below shows the chance,of experiencing headaches for three randomly selected versions of this drug.,What is the chance,What is the severity of consequences if,you experience a headache?,If you take one of these versions of the drug…,Version,The graph below shows the chance of experiencing headaches for three randomly selected versions of this drug.,What is the chance you experience a headache?,What is the severity of consequences if you experience a headache?,mid,graphs/F5_mid.png,29.85323803483026,30.26692283163124,30.566907105167147
6,Working Overtime,F,38.5,You are applying for jobs in an industry where employees can be asked to work overtime.,The graph below shows the chance,of being asked to work overtime for three randomly selected companies.,What is the chance,What is the severity of consequences if,you are asked to work overtime?,If you accept a job at one of these companies...,Company,The graph below shows the chance of being asked to work overtime for three randomly selected companies.,What is the chance you are asked to work overtime?,What is the severity of consequences if you are asked to work overtime?,mid,graphs/F6_mid.png,38.032469601994165,38.23464055039735,38.49673029615279
10,Bad Weather,F,69.5,You are going on a hiking trip this month.,The graph below shows the chance,of bad weather for three randomly selected days this month.,What is the chance,What is the severity of consequences if,you experience bad weather on your trip?,If you go hiking on one of these days...,Day,The graph below shows the chance of bad weather for three randomly selected days this month.,What is the chance you experience bad weather on your trip?,What is the severity of consequences if you experience bad weather on your trip?,mid,graphs/F10_mid.png,69.64559761887297,70.19443158127712,69.8245050141802
12,Appliance,F,32.5,You are buying a new kitchen appliance.,The graph below shows the chance,of it breaking within 12 months for three randomly selected appliance manufacturers.,What is the chance,What is the severity of consequences if,your applicance breaks within 12 months?,If you buy one of these appliances...,Manufacturer,The graph below shows the chance of it breaking within 12 months for three randomly selected appliance manufacturers.,What is the chance your applicance breaks within 12 months?,What is the severity of consequences if your applicance breaks within 12 months?,mid,graphs/F12_mid.png,32.342884152024766,33.701687539389354,32.14086801866797
13,Burger Van,F,38.5,You are placing a meat order for your burger van.,The graph below shows the chance,of the meat going off within 72 hours for three randomly selected meat suppliers.,What is the chance,What is the severity of consequences if,the meat goes off?,If you buy your meat from one of these suppliers...,Supplier,The graph below shows the chance of the meat going off within 72 hours for three randomly selected meat suppliers.,What is the chance the meat goes off?,What is the severity of consequences if the meat goes off?,mid,graphs/F13_mid.png,38.566677254114644,39.18761079321143,38.87435752285604
16,Restaurant Booking,F,72.5,You are taking a business associate to a restaurant and have not booked a table.,The graph below shows the chance,of no spare tables being available at three randomly selected restaurants in your area.,What is the chance,What is the severity of consequences if,you are unable to get a table?,If you turn up to one of these restaurants...,Restaurant,The graph below shows the chance of no spare tables being available at three randomly selected restaurants in your area.,What is the chance you are unable to get a table?,What is the severity of consequences if you are unable to get a table?,mid,graphs/F16_mid.png,72.82257112747622,72.06733819385829,73.92873584660643
18,Mechanical Issues,F,28.5,You are purchasing a used car.,The graph below shows the chance,of experiencing a mechanical issue for three randomly selected manufacturers.,What is the chance,What is the severity of consequences if,the car has a mechanical issue?,If you purchase from one of these manufacturers...,Manufacturer,The graph below shows the chance of experiencing a mechanical issue for three randomly selected manufacturers.,What is the chance the car has a mechanical issue?,What is the severity of consequences if the car has a mechanical issue?,mid,graphs/F18_mid.png,27.661960109115235,28.583825859889544,28.49572740917114
19,Adverse Reaction,F,32.5,You are selecting a new hair dye product.,The graph below shows the chance,of experiencing an allergic reaction for three randomly selected products.,What is the chance,What is the severity of consequences if,you experience an allergic reaction?,If you use one of these products…,Product,The graph below shows the chance of experiencing an allergic reaction for three randomly selected products.,What is the chance you experience an allergic reaction?,What is the severity of consequences if you experience an allergic reaction?,mid,graphs/F19_mid.png,31.430598714718705,32.62504494669069,32.14400201824493
38,Staying on Task,A,68.5,You are expected to stay on task throughout this experiment.,NA,"For this trial, ignore the graph below. Respond 'Very unlikely' on the top scale, and ‘Very mild' on the bottom scale.",What is the chance response specified above?,What is the severity response specified above?,NA,Answer the questions below according to the text above...,Item,"For this trial, ignore the graph below. Respond 'very unlikely' on the top scale, and 'very mild' on the bottom scale.",What is the chance response specified above?,What is the severity response specified above?,mid,graphs/A38_mid.png,68.59002232339176,68.70134139840184,67.80419779800826
39,Reading Carefully,A,35.5,You are expected to read carefully throughout this experiment.,NA,"For this trial, ignore the graph below. Respond 'Very unlikely' on the top scale, and 'Very severe' on the bottom scale.",What is the chance response specified above?,What is the severity response specified above?,NA,Answer the questions below according to the text above...,Item,"For this trial, ignore the graph below. Respond 'very unlikely' on the top scale, and 'very severe' on the bottom scale.",What is the chance response specified above?,What is the severity response specified above?,mid,graphs/A39_mid.png,35.53148731718747,35.47465330536207,34.75797924481061
