item_no,title,type,data_mean,scenario,graph_text_1,graph_text_2,new_line,chance_start,severity_start,question_end,if_phrase,x_label
16,Restaurant Booking,F,72,You are taking a business associate to a restaurant and have not booked a table.,The graph below shows the chance ,of no spare tables being available at three randomly selected restaurants in your area.,,What is the chance ,What is the severity of consequences if ,you are unable to get a table?,If you turn up to one of these restaurants...,Restaurant
17,Unsafe Drinking Water,E,71,You are taking a vacation to a country with reports of unsafe drinking water.,The graph below shows the chance ,of exposure to harmful bacteria in drinking water from three randomly selected water sources.,,What is the chance ,What is the severity of consequences if ,you are exposed to harmful bacteria in drinking water?,If you drink water from one of these sources...,Water Source
18,Mechanical Issues,F,28,You are purchasing a used car.,The graph below shows the chance ,of experiencing a mechanical issue for three randomly selected manufacturers.,,What is the chance ,What is the severity of consequences if ,the car has a mechanical issue?,If you purchase from one of these manufacturers...,Manufacturer
19,Adverse Reaction,F,32,You are selecting a new hair dye product.,The graph below shows the chance ,of experiencing an allergic reaction for three randomly selected products.,,What is the chance ,What is the severity of consequences if ,you experience an allergic reaction?,If you use one of these products..,Product
20,Toxic Chemicals in Pesticide,E,43,You are selecting a pesticide to spray on your crops.,The graph below shows the chance ,of exposure to unsafe levels of toxic chemicals from three randomly selected brands of pesticide.,,What is the chance ,What is the severity of consequences if ,you are exposed to unsafe levels of toxic chemicals?,If you use one of these pesticides brands...,Pesticide
21,Downhill Skiing,E,67,You are going downhill skiing.,The graph below shows the chance ,of very icy conditions for three randomly selected ski-runs.,,What is the chance ,What is the severity of consequences if ,you encounter very icy conditions?,If you go on one of these ski-runs...,Ski-run
22,Swimming in Open Water,E,64,You are going swimming in open water.,The graph below shows the chance ,of very rough waves for three randomly selected beaches.,,What is the chance ,What is the severity of consequences if ,you experience very rough waves?,If you swim on one of these beaches...,Beach
23,Heavy Rainfall,E,70,You are going on a camping trip next week.,The graph below shows the chance ,of heavy rainfall for three randomly selected days next week.,,What is the chance ,What is the severity of consequences if ,you experience heavy rainfall?,If you camp on one of these days...,Day
24,Slot Machines,E,42,You are gambling one week's salary on a casino slot machine.,The graph below shows the chance ,of losing your week's wages for three randomly selected machines at the casino.,,What is the chance ,What is the severity of consequences if ,you lose your week's wages?,If you use one of these slot machines...,Slot Machine
25,House Extension,F,39,You are reviewing design ideas for a new house.,The graph below shows the chance ,of planning permission being denied for three randomly selected design ideas.,,What is the chance ,What is the severity of consequences if ,your planning permission is denied?,If you select one of these design ideas...,Design
26,Marketing Campaign,F,33,You are managing a marketing campaign.,The graph below shows the chance ,"of this marketing campaign failing to have an impact, for three randomly selected marketing strategies.",,What is the chance ,What is the severity of consequences if ,your marketing campaign does not have an impact?,If you use one of these marketing strategies...,Strategy
27,Assigning a Project,F,36,You are assigning an important project to one of your employees.,The graph below shows the chance ,of the project being late for three randomly selected employees.,,What is the chance ,What is the severity of consequences if ,the project is completed late?,If you assign the project to one of these employees...,Employee
28,Renting an Apartment,E,68,You are renting an apartment in town.,The graph below shows the chance ,of your rent increasing after the first six months for three randomly selected apartment blocks.,,What is the chance ,What is the severity of consequences if ,your rent increases after the first six months?,If you rent in one of these apartment blocks...,Block
29,Medication for Indigestion,F,53,You are taking a tablet to treat indigestion.,The graph below shows the chance ,"it will be ineffective, for three randomly selected tablets.",,What is the chance ,What is the severity of consequences if ,the tablet is ineffective?,If you choose one of these tablets...,Tablet
30,Loan Repayments,F,34,"You are taking out a loan, which has several repayment options.",The graph below shows the chance ,of you being unable to keep up repayments for three randomly selected repayment plans.,,What is the chance ,What is the severity of consequences if ,you are unable to keep up repayments?,If you choose one of these repayment plans...,Plan
31,Sprinkler System,E,35,You are selecting a sprinkler system for your house in case of a fire.,The graph below shows the chance ,of the sprinkler system not working effectively for three randomly selected sprinkler systems.,,What is the chance ,What is the severity of consequences if ,the sprinkler system does not work effectively?,If you chose one of these sprinkler systems...,System
32,Cosmetic Surgery,E,31,You are undergoing voluntary surgery for a cosmetic issue.,The graph below shows the chance ,of complications for three randomly selected clinics.,,What is the chance ,What is the severity of consequences if ,you experience complications?,If you go to one of these clinics...,Clinic
33,Online Shopping,F,52,You are placing an online order for an item that must arrive tomorrow.,The graph below shows the chance ,of the item arriving after tomorrow for three randomly selected online stores selling this item.,,What is the chance ,What is the severity of consequences if ,the item arrives after tomorrow?,If you order from one of these stores...,Store
34,Vitamin Deficiency,F,40,You want to follow a new diet.,The graph below shows the chance ,of developing a vitamin deficiency for three randomly selected diet plans.,,What is the chance ,What is the severity of consequences if ,you develop a vitamin deficiency?,If you follow one of these diet plans...,Diet plan
35,Pain Relief,E,37,You need to take strong pain relief medication.,The graph below shows the chance ,of developing an addiction for three randomly selected pain relief medicines.,,What is the chance ,What is the severity of consequences if ,you develop an addiction?,If you take one of these pain-relief medicines...,Medication
36,Practice 1 - Burglary,P,13,You are moving to a new city.,The graph below shows the chance ,of experiencing a burglary for three randomly selected neighborhoods in the city.,,What is the chance ,What is the severity of consequences if ,you experience a burglarly?,If you move to one of these neighborhoods...,Neighborhood
37,Practice 2 - Cycling,P,50,You are going cycling next week.,The graph below shows the chance ,of icy road surfaces for three randomly selected days next week.,,What is the chance ,What is the severity of consequences if ,the road surfaces are icy?,If you cycle on one of these days...,Day
38,Staying on Task,F,68,You are expected to stay on task throughout this experiment. ,,"For this trial, ignore the graph below. Respond 'Very unlikely' on the top scale, and ‘Very mild' on the bottom scale.",,What is the 'chance' response specified above?,What is the 'severity' response specified above?,,Answer the questions below according to the text above...,Item
39,Reading Carefully,F,35,You are expected to read carefully throughout this experiment.,,"For this trial, ignore the graph below. Respond 'Very unlikely' on the top scale, and 'Very severe' on the bottom scale.",,What is the 'chance' response specified above?,What is the 'severity' response specified above?,,Answer the questions below according to the text above...,Item
40,Answering Questions,F,31,You are expected to answer questions properly throughout this experiment.,,"For this trial, ignore the graph below. Respond 'Very likely' on the top scale, and 'Very mild' on the bottom scale.",,What is the 'chance' response specified above?,What is the 'severity' response specified above?,,Answer the questions below according to the text above...,Item
41,Paying Attention,F,52,You are expected to pay attention throughout this experiment.,,"For this trial, ignore the graph below. Respond 'Very likely' on the top scale, and 'Very severe' on the bottom scale.",,What is the 'chance' response specified above?,What is the 'severity' response specified above?,,Answer the questions below according to the text above...,Item
42,Meaningful Responses,F,40,You are expected to provide meaningful responses throughout this experiment. ,,"For this trial, ignore the graph below. Respond 'Very unlikely' on the top scale, and 'Very mild' on the bottom scale.",,What is the 'chance' response specified above?,What is the 'severity' response specified above?,,Answer the questions below according to the text above...,Item
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,15,,,,,,,,
