participant,item_no,condition,chance_slider.response,severity_slider.response,literacy,data_mean
2,7,lo,3,3,3.6,37
2,3,lo,3,4,3.6,39
2,21,hi,4,5,3.6,67
2,1,hi,3,4,3.6,28
2,14,hi,4,5,3.6,41
2,2,hi,4,6,3.6,30
2,11,lo,3,5,3.6,29
2,28,lo,5,6,3.6,68
2,35,hi,4,7,3.6,37
2,32,lo,3,6,3.6,31
2,17,lo,6,7,3.6,71
3,3,hi,3,3,3.2,39
3,24,hi,3,3,3.2,42
3,2,lo,2,2,3.2,30
3,20,lo,3,3,3.2,43
3,21,lo,5,5,3.2,67
3,14,lo,3,3,3.2,41
3,1,lo,2,2,3.2,28
3,4,lo,3,3,3.2,36
3,28,hi,5,5,3.2,68
3,9,hi,5,5,3.2,66
3,23,lo,6,6,3.2,70
3,11,hi,2,2,3.2,29
3,17,hi,5,5,3.2,71
3,32,hi,3,2,3.2,31
3,31,hi,3,3,3.2,35
3,35,lo,3,3,3.2,37
3,22,hi,5,5,3.2,64
3,15,lo,5,5,3.2,65
3,7,hi,3,3,3.2,37
3,8,lo,3,3,3.2,33
3,2,hi,3,3,3.2,30
3,32,lo,3,3,3.2,31
3,8,hi,3,3,3.2,33
3,14,hi,3,3,3.2,41
3,31,lo,3,3,3.2,35
3,3,lo,3,3,3.2,39
3,28,lo,5,5,3.2,68
3,23,hi,5,5,3.2,70
3,1,hi,3,3,3.2,28
3,17,lo,5,5,3.2,71
3,21,hi,5,5,3.2,67
3,35,hi,3,3,3.2,37
3,24,lo,3,3,3.2,42
3,7,lo,3,3,3.2,37
3,11,lo,3,3,3.2,29
3,15,hi,5,5,3.2,65
3,20,hi,3,3,3.2,43
3,22,lo,5,5,3.2,64
3,4,hi,3,3,3.2,36
3,9,lo,5,5,3.2,66
4,22,hi,6,4,4.6,64
4,20,lo,4,4,4.6,43
4,11,hi,3,5,4.6,29
4,1,lo,4,4,4.6,28
4,35,lo,6,6,4.6,37
4,3,hi,5,4,4.6,39
4,23,lo,6,4,4.6,70
4,24,hi,5,4,4.6,42
4,21,lo,5,4,4.6,67
4,17,hi,6,4,4.6,71
4,32,hi,6,6,4.6,31
4,7,hi,5,3,4.6,37
4,14,lo,5,5,4.6,41
4,2,lo,4,3,4.6,30
4,8,lo,3,5,4.6,33
4,4,lo,3,2,4.6,36
4,9,hi,5,3,4.6,66
4,31,hi,4,5,4.6,35
4,15,lo,5,4,4.6,65
4,28,hi,6,4,4.6,68
4,15,hi,5,4,4.6,65
4,32,lo,3,5,4.6,31
4,1,hi,3,5,4.6,28
4,4,hi,3,3,4.6,36
4,23,hi,6,3,4.6,70
4,3,lo,3,4,4.6,39
4,9,lo,5,3,4.6,66
4,7,lo,3,3,4.6,37
4,22,lo,4,4,4.6,64
4,31,lo,3,5,4.6,35
4,28,lo,5,4,4.6,68
4,20,hi,4,4,4.6,43
4,14,hi,4,5,4.6,41
4,24,lo,3,4,4.6,42
4,35,hi,4,6,4.6,37
4,2,hi,3,3,4.6,30
4,21,hi,5,4,4.6,67
4,17,lo,5,4,4.6,71
4,8,hi,3,4,4.6,33
4,11,lo,2,5,4.6,29
5,9,hi,6,5,5.4,66
5,20,lo,5,6,5.4,43
5,4,lo,3,5,5.4,36
5,23,lo,6,4,5.4,70
5,2,lo,3,4,5.4,30
5,8,lo,3,5,5.4,33
5,1,lo,2,3,5.4,28
5,3,hi,4,6,5.4,39
5,28,hi,5,5,5.4,68
5,14,lo,3,5,5.4,41
5,22,hi,5,6,5.4,64
5,11,hi,2,6,5.4,29
5,17,hi,6,7,5.4,71
5,7,hi,3,4,5.4,37
5,24,hi,4,7,5.4,42
5,15,lo,5,6,5.4,65
5,21,lo,5,6,5.4,67
5,35,lo,3,6,5.4,37
5,32,hi,3,6,5.4,31
5,31,hi,3,7,5.4,35
5,21,hi,5,6,5.4,67
5,20,hi,3,6,5.4,43
5,23,hi,5,5,5.4,70
5,32,lo,3,7,5.4,31
5,2,hi,3,4,5.4,30
5,17,lo,5,7,5.4,71
5,11,lo,3,6,5.4,29
5,14,hi,3,4,5.4,41
5,7,lo,3,4,5.4,37
5,1,hi,3,4,5.4,28
5,9,lo,5,5,5.4,66
5,28,lo,5,5,5.4,68
5,15,hi,5,6,5.4,65
5,24,lo,3,7,5.4,42
5,3,lo,3,6,5.4,39
5,8,hi,3,6,5.4,33
5,35,hi,3,6,5.4,37
5,22,lo,5,6,5.4,64
5,4,hi,3,5,5.4,36
5,31,lo,3,7,5.4,35
6,17,hi,7,7,3,71
6,24,hi,3,6,3,42
6,35,lo,4,6,3,37
6,31,hi,4,7,3,35
6,15,lo,6,6,3,65
6,4,lo,3,2,3,36
6,9,hi,5,4,3,66
6,11,hi,4,6,3,29
6,23,lo,6,5,3,70
6,8,lo,3,5,3,33
6,2,lo,3,5,3,30
6,28,hi,5,5,3,68
6,3,hi,3,4,3,39
6,1,lo,3,4,3,28
6,22,hi,5,4,3,64
6,14,lo,4,5,3,41
6,21,lo,5,4,3,67
6,7,hi,3,4,3,37
6,20,lo,4,5,3,43
6,32,hi,3,4,3,31
6,14,hi,4,5,3,41
6,21,hi,5,4,3,67
6,7,lo,3,3,3,37
6,1,hi,3,3,3,28
6,24,lo,4,6,3,42
6,9,lo,5,4,3,66
6,11,lo,3,2,3,29
6,28,lo,5,5,3,68
6,15,hi,5,6,3,65
6,35,hi,3,6,3,37
6,4,hi,3,4,3,36
6,2,hi,3,4,3,30
6,3,lo,3,2,3,39
6,8,hi,3,5,3,33
6,22,lo,5,3,3,64
6,23,hi,6,4,3,70
6,20,hi,4,6,3,43
6,31,lo,3,7,3,35
6,32,lo,3,7,3,31
6,17,lo,6,7,3,71
7,20,lo,4,7,4.8,43
7,17,hi,6,7,4.8,71
7,28,hi,5,6,4.8,68
7,24,hi,4,7,4.8,42
7,7,hi,3,3,4.8,37
7,8,lo,3,7,4.8,33
7,22,hi,6,5,4.8,64
7,14,lo,4,6,4.8,41
7,32,hi,3,7,4.8,31
7,1,lo,3,6,4.8,28
7,31,hi,3,6,4.8,35
7,35,lo,3,7,4.8,37
7,15,lo,5,3,4.8,65
7,3,hi,4,7,4.8,39
7,9,hi,6,6,4.8,66
7,21,lo,5,7,4.8,67
7,11,hi,2,7,4.8,29
7,2,lo,3,7,4.8,30
7,4,lo,3,3,4.8,36
7,23,lo,6,6,4.8,70
7,23,hi,6,6,4.8,70
7,31,lo,3,6,4.8,35
7,15,hi,5,4,4.8,65
7,7,lo,3,3,4.8,37
7,3,lo,3,7,4.8,39
7,22,lo,5,5,4.8,64
7,24,lo,4,7,4.8,42
7,35,hi,3,7,4.8,37
7,11,lo,2,7,4.8,29
7,32,lo,3,7,4.8,31
7,4,hi,3,3,4.8,36
7,28,lo,5,6,4.8,68
7,1,hi,2,6,4.8,28
7,9,lo,5,6,4.8,66
7,20,hi,4,7,4.8,43
7,14,hi,4,7,4.8,41
7,2,hi,3,6,4.8,30
7,17,lo,6,6,4.8,71
7,21,hi,5,6,4.8,67
7,8,hi,3,7,4.8,33
8,32,hi,3,5,4.2,31
8,15,lo,4,5,4.2,65
8,3,hi,3,7,4.2,39
8,7,hi,3,4,4.2,37
8,24,hi,3,6,4.2,42
8,35,lo,2,5,4.2,37
8,8,lo,2,5,4.2,33
8,21,lo,5,5,4.2,67
8,31,hi,3,7,4.2,35
8,20,lo,3,6,4.2,43
8,4,lo,3,6,4.2,36
8,28,hi,6,4,4.2,68
8,23,lo,6,5,4.2,70
8,14,lo,3,6,4.2,41
8,9,hi,5,5,4.2,66
8,2,lo,3,5,4.2,30
8,17,hi,5,6,4.2,71
8,22,hi,5,5,4.2,64
8,11,hi,2,5,4.2,29
8,1,lo,2,4,4.2,28
8,20,hi,3,6,4.2,43
8,11,lo,2,5,4.2,29
8,1,hi,2,4,4.2,28
8,9,lo,5,6,4.2,66
8,23,hi,6,5,4.2,70
8,35,hi,3,6,4.2,37
8,32,lo,3,5,4.2,31
8,3,lo,3,7,4.2,39
8,4,hi,3,6,4.2,36
8,15,hi,5,6,4.2,65
8,28,lo,5,5,4.2,68
8,22,lo,5,5,4.2,64
8,8,hi,3,5,4.2,33
8,7,lo,3,5,4.2,37
8,31,lo,3,7,4.2,35
8,2,hi,3,6,4.2,30
8,14,hi,3,5,4.2,41
8,17,lo,6,6,4.2,71
8,21,hi,5,5,4.2,67
8,24,lo,3,6,4.2,42
9,24,hi,5,4,4,42
9,22,hi,7,6,4,64
9,11,hi,4,4,4,29
9,31,hi,4,3,4,35
9,4,lo,5,3,4,36
9,20,lo,7,6,4,43
9,23,lo,7,4,4,70
9,21,lo,7,6,4,67
9,35,lo,5,5,4,37
9,17,hi,7,6,4,71
9,2,lo,4,4,4,30
9,32,hi,4,7,4,31
9,9,hi,7,2,4,66
9,3,hi,5,4,4,39
9,8,lo,4,5,4,33
9,7,hi,4,4,4,37
9,1,lo,3,4,4,28
9,14,lo,5,6,4,41
9,28,hi,7,3,4,68
9,15,lo,7,5,4,65
9,4,hi,4,2,4,36
9,9,lo,7,3,4,66
9,8,hi,5,7,4,33
9,20,hi,5,7,4,43
9,24,lo,5,4,4,42
9,7,lo,4,4,4,37
9,11,lo,4,5,4,29
9,17,lo,7,6,4,71
9,35,hi,5,7,4,37
9,23,hi,7,3,4,70
9,32,lo,4,7,4,31
9,31,lo,4,4,4,35
9,3,lo,5,4,4,39
9,21,hi,7,7,4,67
9,28,lo,7,3,4,68
9,2,hi,4,4,4,30
9,1,hi,3,4,4,28
9,15,hi,7,6,4,65
9,22,lo,7,6,4,64
9,14,hi,5,5,4,41
10,1,lo,2,5,3.6,28
10,20,lo,3,7,3.6,43
10,28,hi,7,7,3.6,68
10,14,lo,3,5,3.6,41
10,2,lo,2,7,3.6,30
10,23,lo,2,6,3.6,70
10,22,hi,7,5,3.6,64
10,3,hi,6,6,3.6,39
10,8,lo,2,3,3.6,33
10,21,lo,3,6,3.6,67
10,11,hi,4,4,3.6,29
10,32,hi,3,6,3.6,31
10,7,hi,5,4,3.6,37
10,17,hi,7,7,3.6,71
10,35,lo,3,5,3.6,37
10,15,lo,5,6,3.6,65
10,9,hi,5,4,3.6,66
10,24,hi,4,6,3.6,42
10,31,hi,3,3,3.6,35
10,4,lo,3,2,3.6,36
10,14,hi,4,4,3.6,41
10,1,hi,4,3,3.6,28
10,15,hi,6,6,3.6,65
10,22,lo,5,6,3.6,64
10,3,lo,3,4,3.6,39
10,35,hi,3,6,3.6,37
10,23,hi,7,6,3.6,70
10,2,hi,3,7,3.6,30
10,4,hi,3,2,3.6,36
10,11,lo,2,4,3.6,29
10,31,lo,3,2,3.6,35
10,9,lo,5,5,3.6,66
10,17,lo,6,7,3.6,71
10,8,hi,3,5,3.6,33
10,21,hi,5,6,3.6,67
10,32,lo,3,6,3.6,31
10,28,lo,6,3,3.6,68
10,24,lo,3,6,3.6,42
10,7,lo,3,2,3.6,37
10,20,hi,3,5,3.6,43
11,32,hi,3,6,3,31
11,9,hi,6,6,3,66
11,24,hi,4,5,3,42
11,3,hi,3,6,3,39
11,11,hi,3,5,3,29
11,2,lo,3,5,3,30
11,14,lo,4,6,3,41
11,21,lo,6,6,3,67
11,31,hi,4,7,3,35
11,23,lo,6,5,3,70
11,22,hi,5,5,3,64
11,4,lo,3,5,3,36
11,15,lo,6,7,3,65
11,28,hi,6,6,3,68
11,35,lo,4,7,3,37
11,20,lo,5,7,3,43
11,1,lo,3,5,3,28
11,7,hi,4,3,3,37
11,17,hi,7,6,3,71
11,8,lo,5,5,3,33
11,32,lo,3,5,3,31
11,3,lo,4,5,3,39
11,20,hi,5,7,3,43
11,23,hi,7,5,3,70
11,21,hi,6,6,3,67
11,28,lo,6,5,3,68
11,4,hi,4,4,3,36
11,11,lo,3,5,3,29
11,35,hi,3,7,3,37
11,9,lo,6,6,3,66
11,24,lo,5,6,3,42
11,8,hi,3,5,3,33
11,2,hi,3,5,3,30
11,7,lo,4,5,3,37
11,17,lo,7,6,3,71
11,15,hi,6,7,3,65
11,1,hi,3,5,3,28
11,31,lo,3,6,3,35
11,22,lo,6,5,3,64
11,14,hi,4,6,3,41
12,11,hi,3,4,4,29
12,24,hi,3,3,4,42
12,17,hi,6,6,4,71
12,23,lo,6,3,4,70
12,15,lo,5,6,4,65
12,32,hi,3,5,4,31
12,21,lo,5,6,4,67
12,35,lo,3,5,4,37
12,28,hi,6,4,4,68
12,8,lo,3,5,4,33
12,20,lo,3,5,4,43
12,31,hi,3,5,4,35
12,9,hi,5,4,4,66
12,22,hi,5,4,4,64
12,14,lo,3,4,4,41
12,7,hi,3,4,4,37
12,2,lo,3,4,4,30
12,4,lo,3,3,4,36
12,1,lo,3,3,4,28
12,3,hi,3,3,4,39
12,35,hi,3,6,4,37
12,31,lo,3,4,4,35
12,7,lo,3,3,4,37
12,8,hi,3,4,4,33
12,24,lo,4,3,4,42
12,23,hi,6,5,4,70
12,4,hi,3,3,4,36
12,32,lo,3,4,4,31
12,11,lo,3,4,4,29
12,15,hi,6,6,4,65
12,1,hi,3,4,4,28
12,2,hi,3,4,4,30
12,28,lo,6,5,4,68
12,3,lo,3,4,4,39
12,9,lo,5,4,4,66
12,21,hi,5,6,4,67
12,14,hi,3,4,4,41
12,17,lo,6,6,4,71
12,22,lo,5,4,4,64
12,20,hi,4,6,4,43
13,24,hi,3,1,5,42
13,31,hi,3,6,5,35
13,2,lo,3,6,5,30
13,1,lo,3,2,5,28
13,15,lo,5,5,5,65
13,28,hi,5,2,5,68
13,3,hi,3,2,5,39
13,8,lo,3,2,5,33
13,32,hi,3,5,5,31
13,35,lo,3,5,5,37
13,14,lo,3,5,5,41
13,11,hi,3,4,5,29
13,22,hi,5,6,5,64
13,4,lo,3,2,5,36
13,17,hi,5,6,5,71
13,9,hi,5,2,5,66
13,21,lo,5,5,5,67
13,23,lo,5,2,5,70
13,7,hi,3,2,5,37
13,20,lo,3,7,5,43
13,24,lo,3,2,5,42
13,3,lo,3,4,5,39
13,4,hi,3,2,5,36
13,14,hi,3,4,5,41
13,20,hi,3,7,5,43
13,8,hi,3,2,5,33
13,15,hi,5,5,5,65
13,22,lo,5,6,5,64
13,28,lo,5,2,5,68
13,23,hi,5,2,5,70
13,21,hi,5,5,5,67
13,32,lo,3,5,5,31
13,31,lo,3,6,5,35
13,35,hi,3,5,5,37
13,17,lo,5,6,5,71
13,2,hi,3,6,5,30
13,9,lo,5,2,5,66
13,11,lo,3,4,5,29
13,7,lo,3,2,5,37
13,1,hi,3,2,5,28
14,1,lo,3,4,3.2,28
14,9,hi,5,5,3.2,66
14,2,lo,2,4,3.2,30
14,21,lo,5,7,3.2,67
14,23,lo,6,4,3.2,70
14,17,hi,6,7,3.2,71
14,8,lo,3,5,3.2,33
14,22,hi,5,3,3.2,64
14,32,hi,3,7,3.2,31
14,20,lo,4,5,3.2,43
14,15,lo,5,5,3.2,65
14,28,hi,5,4,3.2,68
14,14,lo,4,6,3.2,41
14,4,lo,3,4,3.2,36
14,3,hi,3,6,3.2,39
14,7,hi,3,5,3.2,37
14,11,hi,3,5,3.2,29
14,31,hi,3,7,3.2,35
14,24,hi,4,5,3.2,42
14,35,lo,3,5,3.2,37
14,21,hi,6,6,3.2,67
14,22,lo,5,3,3.2,64
14,35,hi,3,5,3.2,37
14,14,hi,4,5,3.2,41
14,15,hi,5,5,3.2,65
14,4,hi,3,4,3.2,36
14,1,hi,3,5,3.2,28
14,2,hi,3,5,3.2,30
14,23,hi,6,5,3.2,70
14,17,lo,6,7,3.2,71
14,28,lo,6,4,3.2,68
14,3,lo,3,6,3.2,39
14,24,lo,4,5,3.2,42
14,8,hi,3,5,3.2,33
14,7,lo,3,5,3.2,37
14,31,lo,3,7,3.2,35
14,11,lo,3,5,3.2,29
14,32,lo,3,7,3.2,31
14,9,lo,5,5,3.2,66
14,20,hi,4,6,3.2,43
15,23,lo,5,3,3,70
15,11,hi,3,5,3,29
15,17,hi,5,7,3,71
15,14,lo,3,6,3,41
15,22,hi,5,6,3,64
15,32,hi,3,7,3,31
15,24,hi,4,7,3,42
15,3,hi,3,5,3,39
15,4,lo,3,2,3,36
15,2,lo,3,5,3,30
15,35,lo,3,6,3,37
15,21,lo,5,4,3,67
15,31,hi,3,6,3,35
15,28,hi,5,3,3,68
15,15,lo,5,4,3,65
15,8,lo,3,5,3,33
15,1,lo,2,5,3,28
15,7,hi,3,3,3,37
15,9,hi,5,3,3,66
15,20,lo,4,6,3,43
15,8,hi,3,6,3,33
15,23,hi,5,2,3,70
15,31,lo,3,6,3,35
15,7,lo,3,3,3,37
15,15,hi,5,5,3,65
15,20,hi,4,6,3,43
15,11,lo,2,5,3,29
15,4,hi,3,2,3,36
15,32,lo,3,6,3,31
15,3,lo,3,3,3,39
15,14,hi,3,5,3,41
15,1,hi,3,5,3,28
15,17,lo,5,7,3,71
15,24,lo,3,6,3,42
15,22,lo,5,7,3,64
15,35,hi,3,6,3,37
15,9,lo,5,3,3,66
15,2,hi,3,5,3,30
15,21,hi,5,4,3,67
15,28,lo,5,3,3,68
16,28,hi,5,3,4.8,68
16,7,hi,3,2,4.8,37
16,1,lo,3,3,4.8,28
16,15,lo,5,5,4.8,65
16,14,lo,4,4,4.8,41
16,8,lo,3,3,4.8,33
16,21,lo,5,5,4.8,67
16,22,hi,5,7,4.8,64
16,20,lo,4,5,4.8,43
16,32,hi,3,5,4.8,31
16,11,hi,3,5,4.8,29
16,24,hi,4,4,4.8,42
16,9,hi,5,2,4.8,66
16,3,hi,3,3,4.8,39
16,2,lo,3,5,4.8,30
16,17,hi,5,5,4.8,71
16,4,lo,3,3,4.8,36
16,23,lo,5,5,4.8,70
16,35,lo,3,5,4.8,37
16,31,hi,3,6,4.8,35
16,9,lo,4,3,4.8,66
16,21,hi,5,5,4.8,67
16,2,hi,3,5,4.8,30
16,28,lo,5,3,4.8,68
16,20,hi,4,5,4.8,43
16,14,hi,3,4,4.8,41
16,23,hi,5,4,4.8,70
16,31,lo,3,6,4.8,35
16,4,hi,3,2,4.8,36
16,32,lo,3,6,4.8,31
16,11,lo,3,5,4.8,29
16,1,hi,3,3,4.8,28
16,24,lo,3,4,4.8,42
16,8,hi,3,2,4.8,33
16,7,lo,3,2,4.8,37
16,22,lo,5,7,4.8,64
16,35,hi,3,5,4.8,37
16,15,hi,5,6,4.8,65
16,3,lo,3,3,4.8,39
16,17,lo,5,6,4.8,71
17,4,lo,4,3,4.4,36
17,20,lo,4,6,4.4,43
17,8,lo,3,5,4.4,33
17,14,lo,3,4,4.4,41
17,23,lo,6,3,4.4,70
17,9,hi,5,4,4.4,66
17,15,lo,5,6,4.4,65
17,35,lo,3,7,4.4,37
17,32,hi,2,5,4.4,31
17,22,hi,5,4,4.4,64
17,24,hi,3,5,4.4,42
17,1,lo,2,5,4.4,28
17,11,hi,2,5,4.4,29
17,3,hi,3,5,4.4,39
17,17,hi,6,6,4.4,71
17,7,hi,3,4,4.4,37
17,21,lo,6,5,4.4,67
17,2,lo,2,6,4.4,30
17,28,hi,6,6,4.4,68
17,31,hi,3,4,4.4,35
17,3,lo,3,4,4.4,39
17,9,lo,6,5,4.4,66
17,15,hi,5,6,4.4,65
17,31,lo,3,4,4.4,35
17,2,hi,2,5,4.4,30
17,1,hi,2,6,4.4,28
17,20,hi,3,7,4.4,43
17,4,hi,3,3,4.4,36
17,32,lo,2,5,4.4,31
17,17,lo,6,6,4.4,71
17,24,lo,3,5,4.4,42
17,14,hi,3,6,4.4,41
17,21,hi,6,5,4.4,67
17,8,hi,3,6,4.4,33
17,28,lo,5,6,4.4,68
17,11,lo,2,5,4.4,29
17,35,hi,3,6,4.4,37
17,22,lo,5,3,4.4,64
17,7,lo,3,5,4.4,37
17,23,hi,6,2,4.4,70
18,23,lo,6,5,5,70
18,2,lo,2,7,5,30
18,31,hi,6,7,5,35
18,35,lo,3,6,5,37
18,14,lo,3,7,5,41
18,32,hi,2,7,5,31
18,22,hi,6,7,5,64
18,3,hi,6,7,5,39
18,1,lo,2,5,5,28
18,9,hi,7,7,5,66
18,11,hi,3,5,5,29
18,24,hi,6,4,5,42
18,15,lo,5,5,5,65
18,4,lo,3,3,5,36
18,8,lo,4,3,5,33
18,17,hi,7,7,5,71
18,7,hi,3,4,5,37
18,28,hi,6,6,5,68
18,21,lo,5,7,5,67
18,20,lo,3,5,5,43
18,22,lo,6,7,5,64
18,21,hi,6,6,5,67
18,9,lo,5,6,5,66
18,28,lo,6,6,5,68
18,24,lo,3,5,5,42
18,11,lo,2,3,5,29
18,1,hi,2,2,5,28
18,17,lo,6,7,5,71
18,14,hi,5,6,5,41
18,15,hi,5,6,5,65
18,32,lo,3,5,5,31
18,8,hi,3,4,5,33
18,2,hi,2,6,5,30
18,7,lo,3,5,5,37
18,4,hi,2,4,5,36
18,31,lo,4,7,5,35
18,23,hi,7,5,5,70
18,35,hi,3,3,5,37
18,20,hi,3,6,5,43
18,3,lo,3,2,5,39
19,28,hi,5,6,5.2,68
19,2,lo,7,7,5.2,30
19,22,hi,7,6,5.2,64
19,8,lo,6,6,5.2,33
19,14,lo,6,7,5.2,41
19,31,hi,6,7,5.2,35
19,15,lo,7,6,5.2,65
19,7,hi,5,2,5.2,37
19,17,hi,7,6,5.2,71
19,23,lo,7,6,5.2,70
19,4,lo,5,2,5.2,36
19,11,hi,5,5,5.2,29
19,9,hi,7,5,5.2,66
19,20,lo,6,6,5.2,43
19,1,lo,4,4,5.2,28
19,3,hi,4,4,5.2,39
19,21,lo,5,6,5.2,67
19,24,hi,6,3,5.2,42
19,35,lo,4,6,5.2,37
19,32,hi,5,4,5.2,31
19,31,lo,4,6,5.2,35
19,15,hi,6,6,5.2,65
19,4,hi,5,4,5.2,36
19,14,hi,5,5,5.2,41
19,2,hi,7,7,5.2,30
19,11,lo,4,4,5.2,29
19,8,hi,4,4,5.2,33
19,22,lo,5,6,5.2,64
19,32,lo,5,5,5.2,31
19,24,lo,7,6,5.2,42
19,9,lo,7,3,5.2,66
19,20,hi,6,5,5.2,43
19,3,lo,5,6,5.2,39
19,1,hi,5,6,5.2,28
19,28,lo,4,4,5.2,68
19,7,lo,5,5,5.2,37
19,23,hi,5,5,5.2,70
19,21,hi,4,4,5.2,67
19,35,hi,4,4,5.2,37
19,17,lo,4,4,5.2,71
20,23,lo,6,3,2.4,70
20,35,lo,3,5,2.4,37
20,2,lo,2,3,2.4,30
20,1,lo,2,4,2.4,28
20,3,hi,3,5,2.4,39
20,20,lo,4,4,2.4,43
20,14,lo,4,4,2.4,41
20,15,lo,6,4,2.4,65
20,28,hi,5,6,2.4,68
20,21,lo,6,6,2.4,67
20,17,hi,5,5,2.4,71
20,11,hi,2,2,2.4,29
20,4,lo,3,4,2.4,36
20,7,hi,3,5,2.4,37
20,32,hi,2,4,2.4,31
20,31,hi,3,1,2.4,35
20,9,hi,5,6,2.4,66
20,8,lo,3,4,2.4,33
20,22,hi,5,7,2.4,64
20,24,hi,3,2,2.4,42
20,7,lo,3,6,2.4,37
20,31,lo,3,1,2.4,35
20,22,lo,5,7,2.4,64
20,4,hi,3,4,2.4,36
20,28,lo,5,5,2.4,68
20,35,hi,3,5,2.4,37
20,15,hi,5,5,2.4,65
20,17,lo,5,4,2.4,71
20,32,lo,3,5,2.4,31
20,21,hi,5,6,2.4,67
20,3,lo,3,6,2.4,39
20,8,hi,3,3,2.4,33
20,11,lo,3,2,2.4,29
20,2,hi,3,5,2.4,30
20,23,hi,6,3,2.4,70
20,9,lo,5,5,2.4,66
20,14,hi,3,5,2.4,41
20,1,hi,3,4,2.4,28
20,20,hi,3,2,2.4,43
20,24,lo,3,4,2.4,42
21,35,lo,3,5,4.8,37
21,31,hi,3,2,4.8,35
21,15,lo,5,6,4.8,65
21,2,lo,3,4,4.8,30
21,21,lo,5,4,4.8,67
21,17,hi,6,6,4.8,71
21,8,lo,3,4,4.8,33
21,11,hi,3,4,4.8,29
21,1,lo,3,3,4.8,28
21,28,hi,5,5,4.8,68
21,20,lo,4,4,4.8,43
21,9,hi,5,3,4.8,66
21,22,hi,5,4,4.8,64
21,32,hi,3,6,4.8,31
21,23,lo,5,3,4.8,70
21,14,lo,3,3,4.8,41
21,7,hi,3,2,4.8,37
21,3,hi,3,2,4.8,39
21,4,lo,3,3,4.8,36
21,24,hi,3,6,4.8,42
21,35,hi,3,6,4.8,37
21,1,hi,3,3,4.8,28
21,2,hi,3,3,4.8,30
21,14,hi,3,3,4.8,41
21,11,lo,3,4,4.8,29
21,20,hi,3,4,4.8,43
21,9,lo,5,2,4.8,66
21,22,lo,5,4,4.8,64
21,31,lo,3,2,4.8,35
21,8,hi,3,6,4.8,33
21,24,lo,3,5,4.8,42
21,23,hi,5,3,4.8,70
21,21,hi,5,3,4.8,67
21,17,lo,5,6,4.8,71
21,32,lo,3,5,4.8,31
21,4,hi,3,3,4.8,36
21,28,lo,5,4,4.8,68
21,3,lo,3,4,4.8,39
21,7,lo,3,3,4.8,37
21,15,hi,5,5,4.8,65
22,20,lo,3,3,4.6,43
22,3,hi,3,3,4.6,39
22,1,lo,2,4,4.6,28
22,8,lo,2,6,4.6,33
22,14,lo,3,6,4.6,41
22,22,hi,5,7,4.6,64
22,11,hi,2,5,4.6,29
22,32,hi,3,6,4.6,31
22,24,hi,3,6,4.6,42
22,15,lo,5,7,4.6,65
22,35,lo,3,6,4.6,37
22,28,hi,5,4,4.6,68
